id,name,type,state,oricodes,total_shootings,latitude,longitude
295,Tampa Police Department,local_police,FL,FL02902,11,33.3905697,-83.7911739
1454,Taney County Sheriff's Office,sheriff,MO,MO10700,1,40.8075208,-73.9196323
2180,Tangipahoa Parish Sheriff's Department,sheriff,LA,LA05300,3,36.7914271,-79.9969983
981,Taos County Sheriff's Department,sheriff,NM,NM02900,2,26.1522002,-80.1967846
3312,Taos Pueblo Police Department,local_police,NM,NM0290100,1,26.2454957,-80.2760852
400,Tarboro Police Department,local_police,NC,NC03302,2,41.1609379,-104.7683251
25320,Tarentum Borough Police Department,local_police,PA,PA00292,1,45.05443,-87.7492721
1790,Tarpon Springs Police Department,local_police,FL,FL05218,2,39.8544009,-104.9659543
547,Tarrant County Sheriff's Department,sheriff,TX,TX22000,1,,
1929,Tate County Sheriff's Office,sheriff,MS,MS06900,2,32.2366436,-110.8804862
2560,Tattnall County Sheriff's Department,sheriff,GA,GA13200,1,40.5666356,-122.3255416
1772,Taylor County Sheriff's Office,sheriff,TX,TX22100,1,39.162834,-75.557898
3413,Taylor Police Department,local_police,MI,MI82775,1,35.3307555,-91.9691409
2159,Tazewell County Sheriff's Office,sheriff,IL,IL09000,1,32.7305804,-117.2477627
85,Tehachapi Police Department,local_police,CA,CA01509,1,35.4062686,-97.4236038
140,Tehama County Sheriff's Department,sheriff,CA,CA05200,3,33.8611515,-118.072363
3623,Tell City Police Department,local_police,IN,IN06201,2,30.6378722,-88.0901385
1248,Temecula Police Department,local_police,CA,CA03338,1,47.6802561,-122.2531984
247,Tempe Police Department,local_police,AZ,AZ00729,12,47.5165279,-111.2214417
2212,Temple Police Department,local_police,TX,TX01407,2,32.2405852,-81.2374817
2815,Temple Terrace Police Department,local_police,FL,FL02903,1,39.8877082,-104.9676908
25415,Tennessee Bureau of Investigation,state_other,TN,TNTBI00,1,34.1825091,-88.0859219
1880,Tennessee Highway Patrol,state_police,TN,TNTHP01,6,41.6727563,-72.7613173
680,Terrebonne Parish Sheriff's Office,sheriff,LA,LA05500,5,35.5987085,-85.8020154
377,Terre Haute Police Department,local_police,IN,IN08401,5,37.796024,-79.4222249
515,Tewksbury Police Department,local_police,MA,MA00943,1,40.9065497,-73.8713353
3158,Texarkana Police Department,local_police,AR,AR04601,2,39.7300582,-75.652215
3453,Texas County Sheriff's Office,sheriff,MO,MO10800,1,35.2798717,-84.7618306
3541,Texas Department of Corrections,state_other,TX,,1,47.584282,-122.642783
951,Texas Department of Public Safety,state_police,TX,TX00000;TX17704;TX18804,43,38.559202,-80.0103689
1101,Texas Highway Patrol,state_police,TX,,8,42.4594142,-83.1986879
119,Texas Rangers,state_police,TX,,5,35.1620709,-91.7797724
1996,The Colony Police Department,local_police,TX,TX06115,1,33.1005523,-96.872022
2431,The Dalles Police Department,local_police,OR,OR03301,1,47.7093398,-122.1937888
25665,Thermopolis Police Department,local_police,WY,WY00901,1,39.592701,-84.2452537
2870,The Village Police Department,local_police,OK,OK05507,1,61.2027312,-149.8846644
1838,Thomas County Sheriff's Office,sheriff,GA,GA13600,3,36.7191835,-108.1721395
1337,Thomaston Police Department,local_police,CT,CT00140,1,33.192352,-117.295349
1184,Thornton Police Department,local_police,CO,CO00104,5,29.5524923,-98.2567951
2951,Thornton Police Department,local_police,NH,NH00572,1,29.5524923,-98.2567951
969,Thurston County Sheriff's Office,sheriff,WA,WA03400,5,40.3777769,-104.8033171
1737,Tiffin Police Department,local_police,OH,OH07402,1,40.2647495,-76.8635569
1296,Tigard Police Department,local_police,OR,OR03404,2,47.4900304,-92.4647696
3381,Tillamook County Sheriff's Office,sheriff,OR,OR02900,2,42.8834372,-112.4332821
2507,Timberville Police Department,local_police,VA,VA08207,2,34.2165624,-118.5885317
889,Tippecanoe County Sheriff's Department,sheriff,IN,IN07900,2,43.6468975,-72.0512309
3390,Tipton County Sheriff's Office,sheriff,TN,TN08400,1,26.1121886,-97.9488781
1119,Tishomingo County Sheriff's Office,sheriff,MS,MS07100,1,64.8377778,-147.7163888
2153,Tishomingo Polce Department,local_police,OK,OK03501,1,33.4757172,-112.0476364
1444,Titusville Police Department,local_police,FL,FL00511,2,36.1478459,-95.9671114
1308,Tiverton Police Department,local_police,RI,RI00305,1,46.5743529,-120.5095203
3510,Toccoa Police Department,local_police,GA,GA12701,1,45.4291813,-122.3414378
1867,Toledo Police Department,local_police,OH,OH04807,10,46.603114,-120.5069382
574,Tomball Police Department,local_police,TX,TX10123,1,36.2001962,-119.3266016
1689,Toms River Police Department,local_police,NJ,NJ01507,1,33.4534082,-104.4413766
1673,Tooele County Sheriff's Department,sheriff,UT,UT02300,1,39.8431302,-86.0138405
2917,Tooele Police Department,local_police,UT,UT02301,1,33.9514761,-116.4814267
259,Topeka Police Department,local_police,KS,KS08901,8,32.9239211,-96.8893535
2502,Toppenish Police Department,local_police,WA,WA03903,1,36.5023576,-88.6780929
3391,Topsham Police Department,local_police,ME,ME01202,1,47.6691936,-117.4281475
3278,Torrance County Sheriff's Office,sheriff,NM,NM03000,4,40.0515774,-75.1501626
1507,Torrance Police Department,local_police,CA,CA01972,5,37.6732805,-97.3528426
3635,Town of Niagara Police Department,local_police,NY,NY03155,1,37.3515786,-77.3560126
3137,Town of Wallkill Police Department,local_police,NY,NY03578,1,39.984966,-76.843769
25,Transylvania County Sheriff's Department,sheriff,NC,NC08800,1,33.5213363,-86.7997667
3574,Travis County Sheriff's Office,sheriff,TX,TX22700,2,41.670438,-85.978846
533,Trenton Police Department,local_police,MI,MI82783,1,32.4439632,-84.9576255
2216,Trenton Police Department,local_police,NJ,NJ01111,2,37.4870259,-122.2256797
2925,Trigg County Sheriff's Office,sheriff,KY,KY11100,1,,
435,Trinidad Police Department,local_police,CO,CO03601,4,34.1957481,-118.5666261
3120,Trinity County Sheriff's Office,sheriff,CA,CA05300,1,39.5660931,-104.9606003
1472,Trinity County Sheriff's Office,sheriff,TX,TX22800,1,35.7869006,-119.2409717
1819,Trotwood Police Department,local_police,OH,OH05712,2,34.939367,-85.312136
2209,Troup County Sheriff's Office,sheriff,GA,GA14100,2,,
2143,Troy Police Department,local_police,MI,MI63784,1,28.9444072,-80.9108116
738,Troy Police Department,local_police,NY,NY04102,2,29.6700947,-100.011109
2261,Trumann Police Department,local_police,AR,AR05602,1,35.4897327,-93.8349835
649,Trumbull County Sheriff's Office,sheriff,OH,OH07800,2,37.1012823,-94.5098978
1276,Tualatin Police Department,local_police,OR,OR03412,2,37.8056202,-122.2959994
397,Tucson Police Department,local_police,AZ,AZ01003,38,43.6204722,-116.2239221
2219,Tucumcari Police Department,local_police,NM,NM02001,1,45.5458446,-88.9199914
1404,Tukwila Police Department,local_police,WA,WA01723,1,37.1537443,-93.2777673
873,Tulare County Sheriff's Department,sheriff,CA,CA05400,11,39.9575624,-82.8544283
2106,Tulare Police Department,local_police,CA,CA05406,2,33.803251,-118.1427877
2707,Tularosa Police Department,local_police,NM,NM01902,1,35.0780365,-106.5453162
2364,Tullahoma Police Department,local_police,TN,TN01602,1,34.8055244,-92.2659188
46,Tulsa County Sheriff's Office,sheriff,OK,OK07200,2,35.3768935,-97.124853
1313,Tulsa Police Department,local_police,OK,OK07205,33,30.5040127,-97.641048
2817,Tuolumne County Sheriff's Office,sheriff,CA,CA05500,3,43.9417741,-90.8240772
1302,Tupelo Police Department,local_police,MS,MS04101,2,26.473123,-81.823629
734,Tuscaloosa Police Department,local_police,AL,AL06301,2,34.806166,-106.7333599
3629,Tuscarawas County Sheriff's Office,sheriff,OH,OH07900,1,40.0019958,-76.7505535
2737,Tuscumbia Police Department,local_police,AL,AL02002,3,33.63693,-86.660387
1741,Tustin Police Department,local_police,CA,CA03022,3,26.1298965,-80.2010741
3604,Twin Falls County Sheriff's Office,sheriff,ID,ID04200,1,34.9550425,-120.4312378
758,Twinsburg Police Department,local_police,OH,OH07714,1,36.587274,-79.3648758
2622,Two Rivers Police Department,local_police,WI,WI03602,1,34.8697395,-111.7609896
26118,Tyler County Sheriff's Office,sheriff,TX,TX22900,1,47.203679,-122.4364695
2940,Tyler Junior College Police Department,local_other,TX,TX21208,1,34.9626935,-90.0093229
902,UC Merced Police Department,local_other,CA,,1,36.5787303,-82.7519403
26348,Uintah County Sheriff's Office,sheriff,UT,UT02400,1,39.0164381,-94.5697989
1425,Ukiah Police Department,local_police,CA,CA02303,1,33.9746957,-118.2739535
3578,Umatilla Tribal Police Department,local_police,OR,OR03012,1,39.0173211,-94.5677735
1107,Unified Police Department of Greater Salt Lake,local_police,UT,UT01800,11,37.219871,-121.744587
1035,Union City Police Department,local_police,CA,CA00113,1,34.5653955,-118.0428561
2448,Union City Police Department,local_police,GA,GA06006,1,32.7339409,-97.328627
249,Union County Sheriff's Department,sheriff,AR,AR07000,2,33.8083129,-81.1708763
2517,Union County Sheriff's Department,sheriff,MS,MS07300,1,,
1885,Union County Sheriff's Department,sheriff,NC,NC09000,2,40.8324211,-115.7631232
2372,Union County Sheriff's Department,sheriff,SC,SC04400,2,38.004762,-121.8937442
